City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
112,San Felipe,VE,10.3399,-68.7425,76.6,92,62,6.49,broken clouds
113,Chuy,UY,-33.6971,-53.4616,70.18,70,0,9.15,clear sky
114,Lasa,IT,46.6166,10.7002,25.97,52,80,4.47,broken clouds
115,Palestine,PS,31.9216,35.2033,45.93,96,100,13.42,overcast clouds
116,Torbay,CA,47.6666,-52.7314,36.57,87,79,11.01,broken clouds
117,Dikson,RU,73.5069,80.5464,8.2,88,100,25.55,overcast clouds
118,Warrnambool,AU,-38.3833,142.4833,59.81,66,2,4.92,clear sky
119,Arraial Do Cabo,BR,-22.9661,-42.0278,75.06,78,40,19.57,scattered clouds
120,Luderitz,NA,-26.6481,15.1594,63.61,87,0,9.26,clear sky
121,Port Blair,IN,11.6667,92.75,75.16,80,98,9.08,overcast clouds
122,Sambava,MG,-14.2667,50.1667,78.3,89,16,6.29,few clouds
123,Lokosovo,RU,61.1333,74.8167,2.52,99,95,6.73,overcast clouds
124,Opuwo,NA,-18.0607,13.84,70.11,26,3,10.47,clear sky
125,Andros Town,BS,24.7,-77.7667,73.36,54,0,15.79,clear sky
126,Cherskiy,RU,68.75,161.3,-28.07,100,100,4.05,overcast clouds
127,Karabanovo,RU,56.3167,38.7,6.91,93,100,10.92,overcast clouds
128,Lebu,CL,-37.6167,-73.65,59.2,78,0,17.74,clear sky
129,Porto Novo,BJ,6.4965,2.6036,79.23,73,96,6.24,overcast clouds
130,Khuzhir,RU,53.1939,107.3397,6.55,72,37,5.77,scattered clouds
131,Walvis Bay,NA,-22.9575,14.5053,63.09,85,0,5.26,clear sky
132,Pascagoula,US,30.3658,-88.5561,64.72,57,1,8.05,clear sky
133,Chokurdakh,RU,70.6333,147.9167,-30.86,100,100,2.91,overcast clouds
134,Bambous Virieux,MU,-20.3428,57.7575,79.21,88,75,5.75,broken clouds
135,Champerico,GT,14.3,-91.9167,84.34,69,5,5.32,clear sky
136,Saldanha,ZA,-33.0117,17.9442,63.88,84,0,8.32,clear sky
137,Lavrentiya,RU,65.5833,-171.0,-10.03,94,81,4.81,broken clouds
138,Beira,MZ,-19.8436,34.8389,82.49,89,75,5.75,broken clouds
139,Fortuna,US,40.5982,-124.1573,52.93,96,75,1.01,broken clouds
