City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
118,Somerset,US,2021-12-21 20:39:35,40.5668,-74.5496,43.41,62,1,1.01
119,Mahebourg,MU,2021-12-21 20:39:35,-20.4081,57.7,79.09,78,75,13.8
120,Port Elizabeth,ZA,2021-12-21 20:39:36,-33.918,25.5701,67.1,100,75,8.05
121,Gat,IL,2021-12-21 20:39:36,31.61,34.7642,56.39,100,63,9.19
122,Barreirinha,BR,2021-12-21 20:39:36,-2.7933,-57.07,83.52,77,94,0.43
123,Bubaque,GW,2021-12-21 20:39:37,11.2833,-15.8333,82.2,62,96,11.01
124,Salalah,OM,2021-12-21 20:37:05,17.0151,54.0924,73.49,68,0,3.44
125,Ormara,PK,2021-12-21 20:39:37,25.2088,64.6357,73.22,79,4,11.68
126,Hithadhoo,MV,2021-12-21 20:39:37,-0.6,73.0833,80.13,77,85,1.83
127,Longyearbyen,SJ,2021-12-21 20:39:38,78.2186,15.6401,15.64,86,75,6.91
128,Mount Darwin,ZW,2021-12-21 20:39:38,-16.7725,31.5838,71.69,73,88,6.58
129,Alihe,CN,2021-12-21 20:39:38,50.5667,123.7167,-16.6,96,5,2.64
130,Uyuni,BO,2021-12-21 20:39:39,-20.4597,-66.825,55.85,56,81,3.74
131,Grindavik,IS,2021-12-21 20:39:39,63.8424,-22.4338,39.67,87,75,6.91
132,Belmonte,BR,2021-12-21 20:39:39,-15.8631,-38.8828,77.5,82,97,7.61
133,Chokurdakh,RU,2021-12-21 20:39:40,70.6333,147.9167,-9.2,97,100,9.28
134,Morondava,MG,2021-12-21 20:39:40,-20.2833,44.2833,79.47,72,55,5.99
135,Saint George,US,2021-12-21 20:36:20,37.1041,-113.5841,58.35,52,1,0.0
136,Cabo San Lucas,MX,2021-12-21 20:36:23,22.8909,-109.9124,82.62,52,1,3.0
137,Tiksi,RU,2021-12-21 20:40:40,71.6872,128.8694,-18.13,97,99,8.61
138,Kuah,MY,2021-12-21 20:40:41,6.3265,99.8432,76.98,88,20,4.61
139,Golaesti,RO,2021-12-21 20:40:41,47.2333,27.7,17.04,77,0,5.01
140,Honggang,CN,2021-12-21 20:40:41,46.4667,124.8667,-15.54,95,14,3.27
141,Awjilah,LY,2021-12-21 20:40:42,29.1081,21.2869,54.61,44,0,6.53
142,Husavik,IS,2021-12-21 20:40:42,66.0449,-17.3389,17.51,84,55,7.85
143,Yellowknife,CA,2021-12-21 20:37:52,62.456,-114.3525,-17.88,76,75,3.44
144,San Pedro De Macoris,DO,2021-12-21 20:40:42,18.4616,-69.2972,84.81,79,35,8.79
145,Kodinsk,RU,2021-12-21 20:40:43,58.6881,99.1844,-34.01,100,27,0.38
146,Mildura,AU,2021-12-21 20:40:43,-34.2,142.15,62.08,72,55,11.5
147,Henties Bay,NA,2021-12-21 20:38:23,-22.116,14.2845,64.85,86,0,2.53
148,Jamestown,US,2021-12-21 20:40:44,42.097,-79.2353,40.59,66,1,5.01
149,San Pedro,PH,2021-12-21 20:40:44,14.35,121.0167,79.11,85,100,1.77
150,Atchison,US,2021-12-21 20:40:44,39.563,-95.1216,48.65,55,24,13.13
151,Yamada,JP,2021-12-21 20:40:44,39.4667,141.95,33.91,57,1,13.71
152,Qaanaaq,GL,2021-12-21 20:40:45,77.484,-69.3632,28.24,69,21,8.08
153,Ostrovnoy,RU,2021-12-21 20:40:45,68.0531,39.5131,24.17,68,100,11.48
