City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
465,Mount Gambier,AU,63.68,clear sky,-37.8333,140.7667,The Commodore
466,Fenoarivo Atsinanana,MG,79.38,overcast clouds,-17.3667,49.4167,L'Oasis Lodge
467,Kaputa,ZM,68.02,light rain,-8.4689,29.6619,Chelelwa Charlets
471,Cayenne,GF,80.1,light rain,4.9333,-52.3333,Hôtel Le Dronmi
473,Jalingo,NG,77.5,broken clouds,8.8833,11.3667,Debright Motel
474,Flinders,AU,74.17,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
475,Quatre Cocos,MU,79.09,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
476,Sorong,ID,80.35,broken clouds,-0.8833,131.25,Waigo Splash Hotel
479,Boda,CF,81.5,overcast clouds,4.3189,17.4695,
480,Katherine,AU,82.72,broken clouds,-14.4667,132.2667,Pine Tree Motel
483,Paciran,ID,77.94,overcast clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
486,Maningrida,AU,80.46,moderate rain,-12.0667,134.2667,Dhukurrdji Lodge
488,Tevaitoa,PF,82.38,few clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
490,Nouakchott,MR,75.13,broken clouds,18.0858,-15.9785,HOTEL IMAN
495,Doha,QA,67.98,clear sky,25.2867,51.5333,Movenpick Hotel Doha
500,Cartagena,CO,83.82,few clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
501,Sucua,EC,79.54,light rain,-2.4667,-78.1667,Hotel Orellana
502,Wad Madani,SD,72.61,clear sky,14.4012,33.5199,فندق يوغسلافيا
503,Kabanjahe,ID,63.36,overcast clouds,3.1001,98.4908,Kos-Kosan wanita muslim bagoes kabanjahe
504,Garowe,SO,66.76,few clouds,8.4054,48.4845,Curubo Hotel
505,Lichinga,MZ,68.95,few clouds,-13.3128,35.2406,Residencial Bendiak
508,Diamantino,BR,72.28,overcast clouds,-14.4086,-56.4461,Hotel Delta
511,Nortelandia,BR,72.5,moderate rain,-14.4547,-56.8028,Hotel Karysmã
513,Tiznit,MA,62.44,overcast clouds,29.5833,-9.5,
514,Victor Harbor,AU,77.2,few clouds,-35.5667,138.6167,McCracken Country Club
515,Watsa,CD,67.95,overcast clouds,3.0372,29.5355,Hôtel Le Pacifique
521,Pisco,PE,71.65,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
526,Goma,CD,63.55,light rain,-1.6792,29.2228,Hotel la Versailles Goma
530,Bairiki,KI,84.2,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
531,Rong Kwang,TH,65.55,clear sky,18.339,100.3174,Rong Kwang Hotel
533,Praia Da Vitoria,PT,60.76,few clouds,38.7333,-27.0667,Hotel Branco I
534,Mangai,CD,68.86,broken clouds,-4.05,19.5333,
538,Pochutla,MX,85.82,few clouds,15.7432,-96.4661,Hotel Posada San Jose
539,Comodoro Rivadavia,AR,84.06,scattered clouds,-45.8667,-67.5,Austral Hotel
540,Mount Isa,AU,87.57,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
545,Miraflores,MX,77.76,clear sky,19.2167,-98.8083,Hotel Mansión
546,Nabire,ID,75.63,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
547,Atar,MR,72.86,clear sky,20.5169,-13.0499,Oumou Elghoura
548,Gemena,CD,82.92,overcast clouds,3.25,19.7667,Hôtel Goshen
549,Gorontalo,ID,73.98,broken clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
551,Saint-Joseph,RE,77.36,overcast clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
553,Beneditinos,BR,88.93,overcast clouds,-5.45,-42.3667,"Pousada, Pesque-Pague e Churrascaria Cabo Miguel"
554,Lazaro Cardenas,MX,81.86,clear sky,17.9583,-102.2,quinta antigua
555,Denpasar,ID,82.06,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
559,Ixtapa,MX,78.03,clear sky,20.7,-105.2,Hotel Plaza Providencia
560,Manacapuru,BR,77.58,overcast clouds,-3.2997,-60.6206,Novo Hotel
564,Mayumba,GA,74.75,light rain,-3.432,10.6554,LIKWALE LODGE
565,Aborlan,PH,75.85,few clouds,9.4352,118.5492,Kevina Transient House
566,Vicente Guerrero,MX,78.19,clear sky,19.1194,-98.1708,Churros Inn
568,Cockburn Town,TC,77.99,few clouds,21.4612,-71.1419,Osprey Beach Hotel
569,Makakilo City,US,79.12,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
572,Dhidhdhoo,MV,79.77,overcast clouds,6.8833,73.1,Dhidhoo beach
573,Ndioum,SN,76.89,overcast clouds,16.5129,-14.6471,l'hôtel samassa
574,Codrington,AU,64.53,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
576,Paka,MY,75.13,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
578,Waipawa,NZ,66.94,overcast clouds,-41.4122,175.5153,Tora Coastal Walk
580,Angoche,MZ,80.82,broken clouds,-16.2325,39.9086,Guest House HESADA
582,Nouadhibou,MR,66.74,clear sky,20.931,-17.0347,El Medina
584,Jibuti,DJ,67.6,few clouds,11.5,42.5,Orchid Main Camp Goubet
586,Baturaja,ID,72.09,overcast clouds,-4.1333,104.1667,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
587,Paita,PE,75.76,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
589,Necochea,AR,77.67,clear sky,-38.5473,-58.7368,dyd -mar Hotel
593,Tutoia,BR,84.18,overcast clouds,-2.7619,-42.2744,Pousada Guará's
594,Chicama,PE,66.74,scattered clouds,-7.8447,-79.1469,Balihai Bungalows
595,Sokoto,NG,71.94,clear sky,13.0609,5.239,Giginya Coral Hotel
597,Tomatlan,MX,84.09,clear sky,19.9333,-105.25,El Salvial
601,Cocal,BR,65.88,scattered clouds,-28.6167,-49.35,Motel Tropical
602,Anloga,GH,80.82,overcast clouds,5.7947,0.8973,Pin Drop Hotel
603,Port Hedland,AU,77.05,clear sky,-20.3167,118.5667,The Esplanade Hotel
604,Prieska,ZA,71.58,broken clouds,-29.6641,22.7474,Avenue GuestHouse
606,Alta Floresta,BR,75.29,moderate rain,-9.8756,-56.0861,Floresta Amazonica Hotel
611,Fremont,US,61.48,broken clouds,37.5483,-121.9886,All Suites Islander Motels
613,Manohar Thana,IN,61.65,scattered clouds,24.24,76.8018,GEETA SADAN
615,Mersing,MY,73.31,overcast clouds,2.4312,103.8405,Timotel Hotel
619,Kota Tinggi,MY,78.84,overcast clouds,1.7381,103.8999,Canopy Tribe
