City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
340,Lima,PE,71.13,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
341,Honolulu,US,80.42,few clouds,21.3069,-157.8583,Aston at the Executive Centre Hotel
344,San Fernando,PH,77.14,clear sky,15.0286,120.6898,Maharlika Hostel
345,The Valley,AI,80.46,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
346,Antalaha,MG,76.95,broken clouds,-14.9003,50.2788,Hotel Vitasoa
347,Port Lincoln,AU,63.61,clear sky,-34.7333,135.8667,Port Lincoln Hotel
349,Mbanza-Ngungu,CD,67.51,overcast clouds,-5.25,14.8667,Hotel Full Business
354,Port Macquarie,AU,75.88,few clouds,-31.4333,152.9167,Rydges Port Macquarie
355,Kahului,US,78.82,few clouds,20.8947,-156.47,Maui Seaside Hotel
358,Oum Hadjer,TD,74.59,clear sky,13.2954,19.6966,
359,Iracoubo,GF,77.63,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
363,Daloa,CI,75.78,clear sky,6.8774,-6.4502,Imans Hotel Daloa
364,Santa Cruz,BO,78.85,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
365,Huarmey,PE,72.61,few clouds,-10.0681,-78.1522,Hotel Miramar
367,Jilib,SO,76.05,light rain,0.4883,42.7854,
368,Victoria Point,AU,82.81,few clouds,-27.5833,153.3,Bay Retreat Motel
369,Hambantota,LK,75.27,overcast clouds,6.1241,81.1185,Bungalow 63
370,Merauke,ID,77.22,broken clouds,-8.4667,140.3333,
372,Cabo Rojo,PR,82.0,broken clouds,18.0866,-67.1457,Hotel Perichi's
373,Tucuman,AR,75.2,broken clouds,-26.8241,-65.2226,Dallas Hotel Tucuman
374,Ranot,TH,75.81,overcast clouds,7.7777,100.3213,Pakbanglake resort ปากบางเลค รีสอร์ท
380,Zarate,AR,88.2,broken clouds,-34.0981,-59.0286,Departamento céntrico 2 ambientes 45 mt2 en Zárate
383,Leeton,AU,75.88,broken clouds,-34.5667,146.4,Historic Hydro Motor Inn
387,Vila Velha,BR,75.15,overcast clouds,-20.3297,-40.2925,Quality Suites Vila Velha
388,Gunjur,GM,77.07,clear sky,13.2019,-16.7339,Dalaba Eco-Lodge Gambia
391,Manokwari,ID,77.83,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
394,Camacha,PT,62.02,broken clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
395,Tsabong,BW,75.81,broken clouds,-26.0217,22.401,Springbok Motel
397,Guaruja,BR,77.16,clear sky,-23.9931,-46.2564,Charme Hotel Guarujá
398,Inhambane,MZ,77.32,scattered clouds,-23.865,35.3833,Oceano
399,Rio Gallegos,AR,71.65,scattered clouds,-51.6226,-69.2181,Hotel Santa Cruz
400,Limaong,PH,76.69,overcast clouds,7.3606,122.3664,Malanta Beach
402,Arlit,NE,63.79,broken clouds,18.7369,7.3853,Case de Passage De la Prefecture
403,Marawi,PH,65.64,overcast clouds,7.9986,124.2928,Derogongan Residence
405,Casablanca,MA,60.33,overcast clouds,33.5928,-7.6192,فندق البيت المغربي كازبلانكا
406,Cabo San Lucas,MX,81.7,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
407,Palu,ID,73.8,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
408,Roura,GF,79.97,light rain,4.7263,-52.3274,Amazonie Découverte SARL
409,Nova Olinda Do Norte,BR,77.92,moderate rain,-3.8881,-59.0942,Casa Juazeiro
411,Bocas Del Toro,PA,84.07,broken clouds,9.3333,-82.25,Hotel Bocas del Toro
413,Zagora,MA,62.04,overcast clouds,30.3484,-5.8365,Prends Ton Temps
415,Ovalle,CL,79.57,scattered clouds,-30.5983,-71.2003,Hotel Altos de Tuqui
416,Salalah,OM,69.89,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
418,Cidreira,BR,71.19,clear sky,-30.1811,-50.2056,Hotel Castelo
419,Mollendo,PE,68.85,broken clouds,-17.0231,-72.0147,Hostal La Casa de Melgar
425,Touros,BR,83.3,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
428,Oussouye,SN,77.09,overcast clouds,12.485,-16.5469,Auberge du Routard
429,Kirakira,SB,83.08,overcast clouds,-10.4544,161.9205,SanBiz Lodge
431,Coihaique,CL,74.01,few clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
432,Rocha,UY,70.83,clear sky,-34.4833,-54.3333,Hotel Arrarte
436,Adelaide,AU,75.58,clear sky,-34.9333,138.6,The Chancellor on Currie
440,Kailua,US,80.58,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
442,Mattru,SL,76.33,few clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
443,Yomou,GN,72.68,few clouds,7.5603,-9.2653,
444,Kavaratti,IN,78.71,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
445,Coquimbo,CL,67.73,clear sky,-29.9533,-71.3436,Punto de encuentro
447,Key Biscayne,US,73.44,few clouds,25.6937,-80.1628,"The Ritz-Carlton Key Biscayne, Miami"
448,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
449,Ambulu,ID,76.55,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
450,Jennings,US,62.89,broken clouds,38.7192,-90.2604,First Western Inn
451,Kandrian,PG,82.44,overcast clouds,-6.2167,149.55,Kandrian Station
453,Ciudad Guayana,VE,76.3,overcast clouds,8.3533,-62.6528,Hotel Las Americas
454,Bitung,ID,76.05,overcast clouds,1.4451,125.1824,K2 Lembeh
455,Bom Jesus,BR,73.31,heavy intensity rain,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
456,Tucuru,GT,74.68,scattered clouds,15.3,-90.0667,
458,Hoa Binh,VN,64.29,clear sky,20.8133,105.3383,Hoa Dao Hotel
459,Rio Grande,BR,73.51,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
460,Chengam,IN,62.87,clear sky,12.3,78.8,C.T.S.Lodge
461,Adolfo Lopez Mateos,MX,63.93,overcast clouds,28.4667,-107.3,Hotel Victor Inn
462,Las Cruces,US,75.47,clear sky,32.3123,-106.7783,Days End Lodge
464,San Patricio,US,81.01,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
